time,date,climate,response,zero_flow,climate_interp,climate_corrupt,response_interp,phase,site,disturbance,class
204,2001-04-22,0,53.802015,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
205,2001-04-23,0.0051,45.30696,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
206,2001-04-24,0,42.475275,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
207,2001-04-25,0.0014,39.64359,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
208,2001-04-26,0,39.64359,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
209,2001-04-27,0.057,42.475275,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
210,2001-04-28,0.0027,42.475275,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
211,2001-04-29,0,39.64359,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
212,2001-04-30,0,36.811905,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
213,2001-05-01,0.0116,36.811905,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
214,2001-05-02,0,33.98022,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
215,2001-05-03,0,33.98022,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
216,2001-05-04,0,31.148535,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
217,2001-05-05,0,28.31685,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
218,2001-05-06,0,27.750513,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
219,2001-05-07,0,26.901007,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
220,2001-05-08,0,26.051502,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
221,2001-05-09,0,25.485165,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
222,2001-05-10,0.057,25.768334,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
223,2001-05-11,6e-4,26.901007,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
224,2001-05-12,0.0711,27.750513,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
225,2001-05-13,0.115,28.31685,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
226,2001-05-14,0,28.31685,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
227,2001-05-15,0,28.31685,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
228,2001-05-16,0.0296,28.31685,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
229,2001-05-17,0.057,28.31685,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
230,2001-05-18,0.0562,28.31685,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
231,2001-05-19,0,27.750513,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
232,2001-05-20,0,27.467344,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
233,2001-05-21,0.1319,28.033682,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
234,2001-05-22,0.1071,27.467344,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
